,algorithm,goal_reached,solution_length,explored_states
153,GoalAgentBFS,True,80,4077
154,GoalAgentDFS,True,294,5976
155,GoalAgentDLS,True,77,2509
156,GoalAgentDFS,True,726,6845
157,GoalAgentUCS,True,91,6933
158,GoalAgentDLS,False,0,4131
159,GoalAgentDLS,False,0,3669
160,GoalAgentUCS,True,31,1396
161,GoalAgentDLS,False,0,3171
162,GoalAgentUCS,True,21,799
163,GoalAgentDLS,False,0,3578
164,GoalAgentUCS,True,70,6312
165,GoalAgentDLS,False,0,3254
166,GoalAgentBFS,True,48,3025
167,GoalAgentDFS,True,164,166
168,GoalAgentBFS,True,123,8299
169,GoalAgentDLS,True,142,184
170,GoalAgentBFS,True,21,784
171,GoalAgentDLS,False,0,4053
172,GoalAgentUCS,True,42,2853
173,GoalAgentDFS,True,2416,5327
174,GoalAgentBFS,True,44,2200
175,GoalAgentUCS,True,140,7988
176,GoalAgentDFS,True,259,2243
177,GoalAgentBFS,True,78,6092
178,GoalAgentUCS,True,99,7005
179,GoalAgentUCS,True,94,6459
180,GoalAgentDLS,False,0,2082
181,GoalAgentDFS,True,620,8019
182,GoalAgentBFS,True,82,4624
183,GoalAgentDLS,True,127,1597
184,GoalAgentBFS,True,63,4463
185,GoalAgentDFS,True,2795,3854
186,GoalAgentUCS,True,48,3025
187,GoalAgentUCS,True,21,784
188,GoalAgentUCS,True,83,6115
189,GoalAgentDFS,True,517,1115
190,GoalAgentDLS,False,0,1502
191,GoalAgentBFS,True,32,998
192,GoalAgentDLS,True,139,1007
193,GoalAgentDLS,False,0,3386
194,GoalAgentDFS,True,2530,4709
195,GoalAgentUCS,True,100,7942
196,GoalAgentBFS,True,83,5442
197,GoalAgentDFS,True,105,107
198,GoalAgentDLS,True,105,107
199,GoalAgentBFS,True,39,1809
200,GoalAgentDFS,True,814,7171
201,GoalAgentUCS,True,80,4077
202,GoalAgentBFS,True,45,3587
203,GoalAgentDFS,True,575,658
204,GoalAgentDFS,True,1203,1289
205,GoalAgentDFS,True,862,6738
206,GoalAgentDLS,True,100,2043
207,GoalAgentUCS,True,134,8944
208,GoalAgentDLS,False,0,3181
209,GoalAgentBFS,True,106,7736
210,GoalAgentDFS,True,136,137
211,GoalAgentDLS,True,136,137
212,GoalAgentUCS,True,63,4463
213,GoalAgentDLS,False,0,2530
214,GoalAgentBFS,True,19,599
215,GoalAgentDLS,False,0,2174
216,GoalAgentUCS,True,44,2200
217,GoalAgentDLS,False,0,2998
218,GoalAgentUCS,True,76,5602
219,GoalAgentBFS,True,112,6698
220,GoalAgentBFS,True,55,4826
221,GoalAgentUCS,True,39,1809
222,GoalAgentDFS,True,750,7856
223,GoalAgentDFS,True,389,392
224,GoalAgentBFS,True,99,6566
225,GoalAgentUCS,True,83,5442
226,GoalAgentDFS,True,931,3025
227,GoalAgentUCS,True,123,8299
228,GoalAgentBFS,True,32,1278
229,GoalAgentUCS,True,45,3587
230,GoalAgentBFS,True,23,960
231,GoalAgentDLS,True,140,2829
232,GoalAgentDLS,False,0,2170
233,GoalAgentBFS,True,67,4628
234,GoalAgentBFS,True,63,4896
235,GoalAgentUCS,True,78,6092
236,GoalAgentUCS,True,19,599
237,GoalAgentDLS,False,0,3766
238,GoalAgentUCS,True,82,4624
239,GoalAgentUCS,True,32,998
240,GoalAgentDFS,True,353,1547
241,GoalAgentBFS,True,12,255
242,GoalAgentUCS,True,106,7736
243,GoalAgentDFS,True,1295,5839
244,GoalAgentDFS,True,979,2673
245,GoalAgentDLS,True,107,1790
246,GoalAgentDFS,True,638,7404
247,GoalAgentDLS,False,0,2212
248,GoalAgentDLS,False,0,2911
249,GoalAgentBFS,True,92,6543
250,GoalAgentDLS,False,0,2732
251,GoalAgentDFS,True,110,111
252,GoalAgentBFS,True,103,7047
253,GoalAgentBFS,True,91,7412
254,GoalAgentDLS,True,110,111
255,GoalAgentBFS,True,16,448
256,GoalAgentBFS,True,53,3795
257,GoalAgentUCS,True,55,4826
258,GoalAgentDFS,True,307,312
259,GoalAgentDFS,True,366,7190
260,GoalAgentDLS,True,112,1173
261,GoalAgentUCS,True,67,4628
262,GoalAgentBFS,True,77,6864
263,GoalAgentDFS,True,167,8698
264,GoalAgentBFS,True,107,6234
265,GoalAgentDLS,False,0,3257
266,GoalAgentDFS,True,953,3411
267,GoalAgentUCS,True,32,1278
268,GoalAgentBFS,True,86,7023
269,GoalAgentDFS,True,2598,3565
270,GoalAgentDFS,True,847,1685
271,GoalAgentUCS,True,63,4896
272,GoalAgentDFS,True,26,8967
273,GoalAgentDLS,False,0,2630
274,GoalAgentDFS,True,2165,5132
275,GoalAgentBFS,True,11,140
276,GoalAgentDFS,True,13,14
277,GoalAgentDLS,True,13,14
278,GoalAgentUCS,True,11,140
279,GoalAgentUCS,True,23,960
280,GoalAgentUCS,True,99,6566
281,GoalAgentUCS,True,112,6698
282,GoalAgentDLS,True,26,2413
283,GoalAgentDLS,False,0,2655
284,GoalAgentDLS,False,0,4011
285,GoalAgentUCS,True,92,6543
286,GoalAgentBFS,True,70,4287
287,GoalAgentDLS,False,0,2028
288,GoalAgentUCS,True,12,255
289,GoalAgentDLS,True,138,3355
290,GoalAgentUCS,True,53,3795
291,GoalAgentUCS,True,16,448
292,GoalAgentBFS,True,12,135
293,GoalAgentBFS,True,5,44
294,GoalAgentDFS,True,2577,4835
295,GoalAgentDLS,False,0,1236
296,GoalAgentDFS,True,461,1222
297,GoalAgentBFS,True,16,459
298,GoalAgentDFS,True,16,17
299,GoalAgentDLS,True,16,17
300,GoalAgentBFS,True,102,7437
301,GoalAgentUCS,True,16,459
302,GoalAgentBFS,True,34,1010
303,GoalAgentBFS,True,48,3971
304,GoalAgentBFS,True,54,2767
305,GoalAgentDFS,True,254,256
306,GoalAgentDFS,True,2222,4019
307,GoalAgentDLS,True,91,2303
308,GoalAgentUCS,True,5,44
309,GoalAgentDFS,True,1138,7091
310,GoalAgentBFS,True,30,1474
311,GoalAgentDLS,False,0,2167
312,GoalAgentDLS,False,0,2018
313,GoalAgentUCS,True,34,1010
314,GoalAgentBFS,True,69,6381
315,GoalAgentDLS,False,0,2841
316,GoalAgentDFS,True,484,4425
317,GoalAgentDFS,True,974,2220
318,GoalAgentUCS,True,77,6864
319,GoalAgentBFS,True,103,6729
320,GoalAgentDLS,True,138,333
321,GoalAgentBFS,True,70,6167
322,GoalAgentUCS,True,91,7412
323,GoalAgentDFS,True,1151,1183
324,GoalAgentUCS,True,107,6234
325,GoalAgentDFS,True,696,5678
326,GoalAgentDFS,True,930,5664
327,GoalAgentDLS,True,142,2436
328,GoalAgentUCS,True,103,7047
329,GoalAgentDFS,True,12,8949
330,GoalAgentDLS,True,136,1588
331,GoalAgentDLS,False,0,2103
332,GoalAgentUCS,True,30,1474
333,GoalAgentUCS,True,70,4287
334,GoalAgentDLS,False,0,3484
335,GoalAgentBFS,True,49,2223
336,GoalAgentBFS,True,98,5406
337,GoalAgentDLS,True,12,3119
338,GoalAgentBFS,True,45,3365
339,GoalAgentUCS,True,12,135
340,GoalAgentBFS,True,112,7109
341,GoalAgentDFS,True,2524,5071
342,GoalAgentDFS,True,679,1056
343,GoalAgentDFS,True,980,1198
344,GoalAgentUCS,True,86,7023
345,GoalAgentDFS,True,769,7730
346,GoalAgentUCS,True,54,2767
347,GoalAgentUCS,True,48,3971
348,GoalAgentBFS,True,93,6231
349,GoalAgentUCS,True,102,7437
350,GoalAgentDLS,False,0,2250
351,GoalAgentDLS,True,119,2560
352,GoalAgentBFS,True,61,5544
353,GoalAgentDLS,False,0,2449
354,GoalAgentDFS,True,221,222
355,GoalAgentDLS,False,0,3033
356,GoalAgentBFS,True,47,1922
357,GoalAgentUCS,True,103,6729
358,GoalAgentDFS,True,424,5333
359,GoalAgentBFS,True,41,2417
360,GoalAgentDLS,False,0,3160
361,GoalAgentUCS,True,45,3365
362,GoalAgentDFS,True,441,8248
363,GoalAgentBFS,True,110,7190
364,GoalAgentDLS,False,0,2009
365,GoalAgentDFS,True,327,5956
366,GoalAgentDLS,True,119,1679
367,GoalAgentUCS,True,98,5406
368,GoalAgentBFS,True,103,7707
369,GoalAgentBFS,True,88,8495
370,GoalAgentBFS,True,27,1141
371,GoalAgentBFS,True,72,6725
372,GoalAgentUCS,True,69,6381
373,GoalAgentDFS,True,435,443
374,GoalAgentUCS,True,70,6167
375,GoalAgentUCS,True,49,2223
376,GoalAgentDFS,True,636,1104
377,GoalAgentDLS,False,0,3124
378,GoalAgentDFS,True,677,5289
379,GoalAgentDLS,True,131,981
380,GoalAgentDFS,True,1401,2186
381,GoalAgentDFS,True,360,2124
382,GoalAgentBFS,True,67,5178
383,GoalAgentBFS,True,82,7893
384,GoalAgentUCS,True,61,5544
385,GoalAgentUCS,True,27,1141
386,GoalAgentDFS,True,1243,7240
387,GoalAgentDLS,False,0,2407
388,GoalAgentBFS,True,15,396
389,GoalAgentBFS,True,44,2343
390,GoalAgentDFS,True,2122,5876
391,GoalAgentDLS,False,0,2793
392,GoalAgentUCS,True,112,7109
393,GoalAgentDLS,False,0,3021
394,GoalAgentDLS,False,0,3590
395,GoalAgentBFS,True,48,3090
396,GoalAgentDLS,False,0,2414
397,GoalAgentUCS,True,41,2417
398,GoalAgentDFS,True,970,2293
399,GoalAgentDLS,False,0,3959
400,GoalAgentBFS,True,80,3407
401,GoalAgentBFS,True,70,6320
402,GoalAgentUCS,True,93,6231
403,GoalAgentDFS,True,271,6714
404,GoalAgentUCS,True,47,1922
405,GoalAgentDLS,False,0,4344
406,GoalAgentDFS,True,262,8382
407,GoalAgentUCS,True,72,6725
408,GoalAgentDLS,False,0,3333
409,GoalAgentDFS,True,357,8372
410,GoalAgentUCS,True,44,2343
411,GoalAgentBFS,True,154,8911
412,GoalAgentUCS,True,103,7707
413,GoalAgentDLS,True,135,1655
414,GoalAgentDFS,True,580,6329
415,GoalAgentUCS,True,110,7190
416,GoalAgentUCS,True,88,8495
417,GoalAgentUCS,True,15,396
418,GoalAgentDLS,False,0,3799
419,GoalAgentDFS,True,402,8386
420,GoalAgentDLS,True,140,942
421,GoalAgentBFS,True,122,8324
422,GoalAgentDFS,True,846,2312
423,GoalAgentBFS,True,28,505
424,GoalAgentDFS,True,722,7796
425,GoalAgentDLS,False,0,2257
426,GoalAgentBFS,True,18,532
427,GoalAgentDFS,True,1400,1657
428,GoalAgentDLS,True,86,1750
429,GoalAgentBFS,True,53,3660
430,GoalAgentUCS,True,67,5178
431,GoalAgentDFS,True,263,266
432,GoalAgentBFS,True,67,6957
433,GoalAgentBFS,True,114,8168
434,GoalAgentBFS,True,62,3599
435,GoalAgentBFS,True,149,8687
436,GoalAgentUCS,True,48,3090
437,GoalAgentDFS,True,412,1534
438,GoalAgentDFS,True,476,599
439,GoalAgentDFS,True,1022,1076
440,GoalAgentBFS,True,91,6378
441,GoalAgentBFS,True,44,3390
442,GoalAgentUCS,True,80,3407
443,GoalAgentDLS,False,0,4771
444,GoalAgentDLS,False,0,2845
445,GoalAgentDFS,True,927,940
446,GoalAgentDLS,True,128,2138
447,GoalAgentDLS,False,0,4110
448,GoalAgentUCS,True,18,532
449,GoalAgentDLS,False,0,2856
450,GoalAgentDLS,False,0,2987
451,GoalAgentDLS,False,0,2279
452,GoalAgentDFS,True,2497,4065
453,GoalAgentUCS,True,82,7893
454,GoalAgentUCS,True,70,6320
455,GoalAgentDFS,True,770,7754
456,GoalAgentDFS,True,394,4099
457,GoalAgentUCS,True,53,3660
458,GoalAgentBFS,True,76,5751
459,GoalAgentDLS,False,0,1609
460,GoalAgentDFS,True,1965,5882
461,GoalAgentUCS,True,62,3599
462,GoalAgentDFS,True,528,540
463,GoalAgentDLS,False,0,2838
464,GoalAgentUCS,True,28,505
465,GoalAgentDLS,False,0,2497
466,GoalAgentBFS,True,75,3836
467,GoalAgentBFS,True,16,420
468,GoalAgentDLS,False,0,2191
469,GoalAgentBFS,True,47,2510
470,GoalAgentDLS,False,0,2969
471,GoalAgentBFS,True,72,4552
472,GoalAgentDFS,True,569,1196
473,GoalAgentUCS,True,122,8324
474,GoalAgentBFS,True,71,4390
475,GoalAgentUCS,True,91,6378
476,GoalAgentUCS,True,154,8911
477,GoalAgentUCS,True,44,3390
478,GoalAgentBFS,True,90,7963
479,GoalAgentDFS,True,926,1777
480,GoalAgentDLS,False,0,2226
481,GoalAgentUCS,True,114,8168
482,GoalAgentDLS,False,0,1527
483,GoalAgentDFS,True,1061,2216
484,GoalAgentDFS,True,446,5826
485,GoalAgentBFS,True,116,7878
486,GoalAgentUCS,True,75,3836
487,GoalAgentUCS,True,149,8687
488,GoalAgentBFS,True,63,3631
489,GoalAgentDLS,True,40,2089
490,GoalAgentUCS,True,67,6957
491,GoalAgentUCS,True,16,420
492,GoalAgentDLS,False,0,2345
493,GoalAgentDFS,True,1151,7154
494,GoalAgentBFS,True,69,3983
495,GoalAgentDFS,True,2262,5624
496,GoalAgentBFS,True,134,8512
497,GoalAgentUCS,True,76,5751
498,GoalAgentUCS,True,72,4552
499,GoalAgentBFS,True,70,3673
500,GoalAgentDFS,True,1285,1562
501,GoalAgentDLS,False,0,2240
502,GoalAgentBFS,True,101,8003
503,GoalAgentDLS,False,0,2944
504,GoalAgentDFS,True,1072,2440
505,GoalAgentDFS,True,2058,4662
506,GoalAgentUCS,True,71,4390
507,GoalAgentDLS,False,0,1312
508,GoalAgentDFS,True,433,5452
509,GoalAgentBFS,True,97,7115
510,GoalAgentUCS,True,47,2510
511,GoalAgentDLS,False,0,3123
512,GoalAgentBFS,True,52,4012
513,GoalAgentDLS,False,0,3162
514,GoalAgentBFS,True,80,6031
515,GoalAgentDLS,True,135,2427
516,GoalAgentDFS,True,2655,4423
517,GoalAgentDFS,True,334,1007
518,GoalAgentBFS,True,124,6900
519,GoalAgentBFS,True,47,1593
520,GoalAgentBFS,True,106,8538
521,GoalAgentDFS,True,1178,7231
522,GoalAgentUCS,True,69,3983
523,GoalAgentDLS,True,142,2241
524,GoalAgentDLS,False,0,3383
525,GoalAgentBFS,True,86,5290
526,GoalAgentUCS,True,63,3631
527,GoalAgentDLS,False,0,2431
528,GoalAgentDFS,True,459,6938
529,GoalAgentBFS,True,94,5942
530,GoalAgentDFS,True,446,1296
531,GoalAgentUCS,True,90,7963
532,GoalAgentDFS,True,1148,6722
533,GoalAgentBFS,True,119,8467
534,GoalAgentDLS,True,142,480
535,GoalAgentDFS,True,2470,4161
536,GoalAgentDFS,True,2754,4523
537,GoalAgentUCS,True,116,7878
538,GoalAgentDLS,False,0,1720
539,GoalAgentDLS,False,0,2105
540,GoalAgentUCS,True,70,3673
541,GoalAgentDLS,False,0,2137
542,GoalAgentUCS,True,134,8512
543,GoalAgentDLS,False,0,3257
544,GoalAgentDFS,True,2221,3537
545,GoalAgentUCS,True,80,6031
546,GoalAgentDFS,True,902,4673
547,GoalAgentDFS,True,125,8835
548,GoalAgentDLS,True,132,209
549,GoalAgentDLS,True,125,266
550,GoalAgentUCS,True,86,5290
551,GoalAgentBFS,True,70,6253
552,GoalAgentDFS,True,142,143
553,GoalAgentDLS,True,142,143
554,GoalAgentBFS,True,72,6495
555,GoalAgentUCS,True,52,4012
556,GoalAgentUCS,True,47,1593
557,GoalAgentUCS,True,101,8003
558,GoalAgentBFS,True,59,4491
559,GoalAgentDFS,True,780,808
560,GoalAgentBFS,True,43,2705
561,GoalAgentDLS,False,0,3713
562,GoalAgentBFS,True,57,2732
563,GoalAgentBFS,True,74,5873
564,GoalAgentUCS,True,97,7115
565,GoalAgentDLS,False,0,2163
566,GoalAgentBFS,True,58,2301
567,GoalAgentUCS,True,124,6900
568,GoalAgentUCS,True,94,5942
569,GoalAgentDFS,True,2374,3127
570,GoalAgentUCS,True,106,8538
571,GoalAgentUCS,True,70,6253
572,GoalAgentDFS,True,1167,6072
573,GoalAgentBFS,True,108,8737
574,GoalAgentBFS,True,37,2355
575,GoalAgentDFS,True,129,130
576,GoalAgentDLS,True,129,130
577,GoalAgentBFS,True,186,8932
578,GoalAgentDFS,True,501,8036
579,GoalAgentDFS,True,661,7297
580,GoalAgentDLS,False,0,3422
581,GoalAgentBFS,True,97,7697
582,GoalAgentBFS,True,134,8214
583,GoalAgentDFS,True,866,1757
584,GoalAgentUCS,True,72,6495
585,GoalAgentUCS,True,119,8467
586,GoalAgentDLS,False,0,4041
587,GoalAgentUCS,True,37,2355
588,GoalAgentDLS,False,0,3176
589,GoalAgentDFS,True,722,7705
590,GoalAgentDFS,True,1002,3556
591,GoalAgentDLS,True,125,3118
592,GoalAgentDLS,False,0,2933
593,GoalAgentDLS,True,138,1676
594,GoalAgentBFS,True,33,1607
595,GoalAgentBFS,True,76,5916
596,GoalAgentDFS,True,2246,3996
597,GoalAgentUCS,True,43,2705
598,GoalAgentDLS,False,0,2237
599,GoalAgentBFS,True,112,8124
600,GoalAgentUCS,True,57,2732
601,GoalAgentDFS,True,564,1903
602,GoalAgentBFS,True,138,8715
603,GoalAgentUCS,True,58,2301
604,GoalAgentBFS,True,82,7680
605,GoalAgentUCS,True,74,5873
606,GoalAgentDLS,False,0,2545
607,GoalAgentDLS,True,102,880
608,GoalAgentUCS,True,59,4491
609,GoalAgentDFS,True,1793,5146
610,GoalAgentBFS,True,24,751
611,GoalAgentDFS,True,750,2288
612,GoalAgentBFS,True,72,7451
613,GoalAgentBFS,True,101,7357
614,GoalAgentDLS,False,0,3313
615,GoalAgentDLS,False,0,2622
616,GoalAgentDFS,True,2110,5036
617,GoalAgentBFS,True,67,4129
618,GoalAgentDFS,True,973,7325
619,GoalAgentBFS,True,77,5568
620,GoalAgentDFS,True,1518,6395
621,GoalAgentUCS,True,108,8737
622,GoalAgentBFS,True,89,6376
623,GoalAgentUCS,True,76,5916
624,GoalAgentDLS,False,0,2669
625,GoalAgentUCS,True,186,8932
626,GoalAgentDLS,False,0,2867
627,GoalAgentDLS,False,0,3304
628,GoalAgentDFS,True,129,5510
629,GoalAgentDLS,True,129,230
630,GoalAgentDFS,True,912,6996
631,GoalAgentUCS,True,134,8214
632,GoalAgentDFS,True,1579,3551
633,GoalAgentBFS,True,76,6203
634,GoalAgentDLS,True,138,697
635,GoalAgentDFS,True,504,6890
636,GoalAgentUCS,True,33,1607
637,GoalAgentUCS,True,24,751
638,GoalAgentDFS,True,825,3978
639,GoalAgentDFS,True,893,5837
640,GoalAgentDLS,False,0,2845
641,GoalAgentDFS,True,536,2789
642,GoalAgentBFS,True,32,1609
643,GoalAgentUCS,True,97,7697
644,GoalAgentDLS,False,0,3405
645,GoalAgentUCS,True,82,7680
646,GoalAgentBFS,True,70,4283
647,GoalAgentDLS,False,0,2839
648,GoalAgentDFS,True,320,322
